Date,open,high,low,close,adjclose,volume,ingested_at_utc
2019-06-17,43750.0,44050.0,43400.0,43900.0,36953.49609375,11890424,2026-02-10 07:00:06.786111+00:00
2019-06-18,43750.0,44500.0,43650.0,44350.0,37332.2890625,7994928,2026-02-10 07:00:06.786111+00:00
2019-06-19,45450.0,45450.0,45000.0,45350.0,38174.05859375,10417690,2026-02-10 07:00:06.786111+00:00
2019-06-20,44850.0,45500.0,44850.0,45500.0,38300.33203125,7147785,2026-02-10 07:00:06.786111+00:00
2019-06-21,45750.0,45800.0,45200.0,45700.0,38468.6875,9454913,2026-02-10 07:00:06.786111+00:00
2019-06-24,45200.0,45800.0,45200.0,45500.0,38300.33203125,6085066,2026-02-10 07:00:06.786111+00:00
2019-06-25,45200.0,45800.0,45200.0,45600.0,38384.50390625,7076774,2026-02-10 07:00:06.786111+00:00
2019-06-26,45800.0,46000.0,45600.0,45700.0,38468.6875,9226097,2026-02-10 07:00:06.786111+00:00
2019-06-27,46000.0,46600.0,45750.0,46500.0,39447.65625,12603534,2026-02-10 07:00:06.786111+00:00
2019-06-28,47000.0,47000.0,46700.0,47000.0,39871.83203125,12949231,2026-02-10 07:00:06.786111+00:00
2019-07-01,47350.0,47400.0,46250.0,46600.0,39532.48828125,11383522,2026-02-10 07:00:06.786111+00:00
2019-07-02,46200.0,46900.0,45850.0,46250.0,39235.5703125,8463073,2026-02-10 07:00:06.786111+00:00
2019-07-03,45750.0,46350.0,45200.0,45400.0,38514.484375,9669368,2026-02-10 07:00:06.786111+00:00
2019-07-04,45250.0,46200.0,45250.0,46000.0,39023.48828125,6365573,2026-02-10 07:00:06.786111+00:00
2019-07-05,45950.0,45950.0,45250.0,45650.0,38726.5703125,7235395,2026-02-10 07:00:06.786111+00:00
2019-07-08,44750.0,44800.0,44350.0,44400.0,37666.16015625,7823843,2026-02-10 07:00:06.786111+00:00
2019-07-09,44850.0,45450.0,44700.0,45100.0,38259.98046875,7646421,2026-02-10 07:00:06.786111+00:00
2019-07-10,45550.0,46150.0,45500.0,45550.0,38641.74609375,9253930,2026-02-10 07:00:06.786111+00:00
2019-07-11,46350.0,46550.0,46150.0,46200.0,39193.16015625,10989751,2026-02-10 07:00:06.786111+00:00
2019-07-12,46350.0,46400.0,45800.0,46300.0,39277.98828125,5245804,2026-02-10 07:00:06.786111+00:00
2019-07-15,45950.0,46650.0,45750.0,46450.0,39405.2421875,4717226,2026-02-10 07:00:06.786111+00:00
2019-07-16,46450.0,46850.0,46300.0,46850.0,39744.5703125,7407824,2026-02-10 07:00:06.786111+00:00
2019-07-17,46150.0,46350.0,45950.0,46050.0,39065.90234375,5216602,2026-02-10 07:00:06.786111+00:00
2019-07-18,46450.0,46450.0,45650.0,46100.0,39108.31640625,5143554,2026-02-10 07:00:06.786111+00:00
2019-07-19,46650.0,46950.0,46600.0,46800.0,39702.16015625,8819393,2026-02-10 07:00:06.786111+00:00
2019-07-22,46800.0,47300.0,46600.0,47200.0,40041.4921875,9009109,2026-02-10 07:00:06.786111+00:00
2019-07-23,47350.0,47550.0,47050.0,47300.0,40126.3203125,9061381,2026-02-10 07:00:06.786111+00:00
